user_id	screen_name	status_id	is_retweet	retweet_user_id	retweet_count	favorite_count
15276911	iddux	1193568571554594821	FALSE	NA	0	0
15276911	iddux	1192868525339230212	FALSE	NA	3	13
15276911	iddux	1192812058703740928	FALSE	NA	0	0
15276911	iddux	1192896388255887361	FALSE	NA	0	2
15276911	iddux	1192902499692433408	FALSE	NA	0	2
15276911	iddux	1192890549914738694	FALSE	NA	0	3
15276911	iddux	1192813508926332931	FALSE	NA	0	0
15276911	iddux	1192562338752278528	FALSE	NA	1	10
15276911	iddux	1192865904977174528	TRUE	1135472480	2	0
15276911	iddux	1192252619592474624	FALSE	NA	2	3
15276911	iddux	1193169525648371718	TRUE	37997717	2	0
15276911	iddux	1192898512637304833	FALSE	NA	0	1
15276911	iddux	1192524613487616002	FALSE	NA	2	1
15276911	iddux	1193169257359691777	FALSE	NA	0	0
15276911	iddux	1192897857537396736	FALSE	NA	1	2
15276911	iddux	1192891248660619264	TRUE	40444555	1	0
15276911	iddux	1192252073620000769	TRUE	37997717	2	0
15276911	iddux	1192912471356559362	TRUE	37997717	2	0
15276911	iddux	1192895954548150273	FALSE	NA	0	1
15276911	iddux	1192246290962436097	FALSE	NA	0	1
15276911	iddux	1192899089731588097	TRUE	31936449	6	0
15276911	iddux	1192246356053807104	TRUE	1135472480	1	0
15276911	iddux	1192897413587058689	FALSE	NA	0	1
15276911	iddux	1192810649828691968	FALSE	NA	17	38
15276911	iddux	1192915178335145984	FALSE	NA	0	4
15276911	iddux	1192266115797409792	TRUE	1135472480	3	0
15276911	iddux	1193168979386392576	FALSE	NA	0	0
15276911	iddux	1192271791638618113	FALSE	NA	2	11
15276911	iddux	1192231378135465997	FALSE	NA	0	3
15276911	iddux	1192812706488827905	FALSE	NA	0	1
15276911	iddux	1192270874302394368	FALSE	NA	2	9
15276911	iddux	1193171767197614082	TRUE	37997717	1	0
15276911	iddux	1192865731370725376	FALSE	NA	0	0
15276911	iddux	1192912439177822208	TRUE	1547838528	3	0
15276911	iddux	1192272448391122946	TRUE	1135472480	3	0
