favorited_by	user_id	status_id
15276911	20126211	1192929766560739333
15276911	18927401	1192273970374041600
15276911	143086518	1192273419141885953
15276911	1382528755	1192252209766916096
15276911	37997717	1192251923778408451
15276911	562328466	1192251406662688768
18927401	750347027456860160	1193208667077849091
18927401	1382528755	1193174805026967552
18927401	156162127	1193162716954972160
18927401	156162127	1192667543732989953
18927401	440115109	1192627254989402122
18927401	1135472480	1192511407935361024
18927401	143086518	1192278932743229440
18927401	2781296741	1192069836672770052
1141449353522900992	1547838528	1193233712445394944
1141449353522900992	156162127	1193162716954972160
1141449353522900992	931540786616963077	1192921290782445568
1141449353522900992	2201628073	1192817328137871362
1141449353522900992	29575969	1192811653877968896
1141449353522900992	29575969	1192268868552732672
1141449353522900992	1589203201	1192636685869293568
1141449353522900992	440115109	1192627254989402122
1141449353522900992	18927401	1192282554814148608
1566909187	454977993	1193211921232736257
1608312078	2781296741	1192472833873580038
1608312078	2781296741	1192455931881234432
1608312078	2781296741	1192445911957413889
1608312078	2781296741	1192069836672770052
1608312078	29575969	1192190866984701952
1608312078	29575969	1192811653877968896
1608312078	29575969	1192909403537707009
1608312078	29575969	1192249711098564609
1608312078	454977993	1193211921232736257
1608312078	750347027456860160	1193208667077849091
1608312078	562328466	1193202067202027520
1608312078	20126211	1193200656280145920
1608312078	20126211	1193169912728080384
1608312078	1382528755	1192476484679528448
1608312078	1382528755	1193198962829746176
1608312078	994031581789589504	1192445477406609409
1608312078	994031581789589504	1193191860921081858
1608312078	994031581789589504	1192267837785722881
1608312078	18927401	1192478969003687936
1608312078	18927401	1193169115269214208
1608312078	31936449	1192930877749243904
1608312078	37997717	1192613715578884097
1608312078	37997717	1192913677835493378
1608312078	3245973772	1192913032487358464
1608312078	1692248610	1192764103355490304
1608312078	1692248610	1192510657721184256
1608312078	440115109	1192627254989402122
1608312078	817382322274070528	1192165253515218944
1608312078	817382322274070528	1192614886108479488
1608312078	61086555	1192612790055428096
1608312078	85906238	1191668753932652546
1608312078	85906238	1192470353416802304
1608312078	18913738	1192484748792389632
1608312078	115039678	1192473311533576192
1608312078	1547838528	1192472209345908737
1608312078	16174754	1192215026880274432
1608312078	155651779	1192458030413160449
1608312078	782615960	1192451554307121152
1608312078	296300255	1192450356552380421
1608312078	143086518	1192278932743229440
1608312078	40444555	1192212606125260800
1608312078	228410704	1192146490820583424
1608312078	778427430	1192075523188568065
917386554280239104	29575969	1192811653877968896
917386554280239104	29575969	1192266355283779585
917386554280239104	29575969	1192190866984701952
917386554280239104	29575969	1192268868552732672
917386554280239104	885356456	1193196545874759680
917386554280239104	14897792	1193212193233391618
917386554280239104	454977993	1193211921232736257
917386554280239104	562328466	1193202067202027520
917386554280239104	778232695302291457	1193198130537402369
917386554280239104	31936449	1192454572528287747
917386554280239104	112156645	1192216817147596806
917386554280239104	782615960	1192611840947367936
917386554280239104	2781296741	1192478559211839489
917386554280239104	1547838528	1191688633985585152
917386554280239104	1547838528	1192258160087719936
917386554280239104	52133120	1192444118049398784
917386554280239104	2165843324	1192321972140748800
917386554280239104	10054472	1192269224716226560
917386554280239104	85906238	1191668753932652546
917386554280239104	1081042932	1192258118715105280
917386554280239104	230944453	1192257434313728002
917386554280239104	115039678	1192254624327249920
917386554280239104	37997717	1192254491493617664
917386554280239104	20126211	1192239525176791042
917386554280239104	201043553	1192239183852642304
917386554280239104	293116923	1192104863296974848
917386554280239104	778427430	1192075523188568065
1699767620	10054472	1192810132553510912
1699767620	10054472	1192622420491943936
1699767620	10054472	1192268597537755136
1699767620	10054472	1192247083438395392
1699767620	10054472	1192444881060405251
1699767620	1455996980	1193277866936590336
1699767620	454977993	1193211921232736257
1699767620	7583472	1192631108007018496
1699767620	7583472	1193197264929509377
1699767620	562328466	1193189194924986368
1699767620	2213018582	1193179954625892353
1699767620	31936449	1192511188246179840
1699767620	31936449	1192930877749243904
1699767620	31936449	1192923944287907842
1699767620	31936449	1192277272469934085
1699767620	31936449	1192900726210596865
1699767620	1135472480	1192266525530562561
1699767620	37997717	1192897834506477568
1699767620	37997717	1192631308515782657
1699767620	1382528755	1192252209766916096
1699767620	1382528755	1192810983779004417
1699767620	2601010981	1192773591424815104
1699767620	15276911	1192562338752278528
1699767620	2482049948	1192534730199228416
1699767620	1081042932	1192480307657744384
1699767620	47566275	1192314780343652352
1699767620	1547838528	1191688633985585152
52240235	454977993	1193211921232736257
52240235	115039678	1193204728521474048
52240235	115039678	1192510412845174787
52240235	115039678	1192455043729051648
52240235	115039678	1192280821736124417
52240235	2664569172	1193178095827783681
52240235	420574055	1193175240618188800
52240235	21184460	1192967455418863617
52240235	1547838528	1191688633985585152
52240235	1547838528	1192867845069295623
52240235	1547838528	1192280274954018816
52240235	1547838528	1192911405630083073
52240235	85906238	1192456794104307712
52240235	85906238	1191668753932652546
52240235	85906238	1192896591251808256
52240235	85906238	1192470353416802304
52240235	85906238	1192866544772112384
52240235	85906238	1192547611854745605
52240235	818256778945241089	1192869152857427969
52240235	15276911	1192868525339230212
52240235	15276911	1192810649828691968
52240235	20126211	1192868239979827201
